Fixture Group,Fixture Date,Home Team,Away Team,First Name,Last Name,Team,Stat Desc,Stat Value,
Open Division,Wed 08 Jul 2020 09:00 PM,Winnipeg Wrath (WW),Bolivia Bitcoin Bandits (BCB),[BB],FlaccidLettuce,Bolivia Bitcoin Bandits (BCB),Shots,4.00,
Open Division,Wed 08 Jul 2020 10:00 PM,Pennsylvania Ball-Peen Hammers (BPH),Tokyo Ghoulz (TTG),[BPH],yurtle,Pennsylvania Ball-Peen Hammers (BPH),Assists,2.00,
Open Division,Wed 08 Jul 2020 10:00 PM,Pennsylvania Ball-Peen Hammers (BPH),Tokyo Ghoulz (TTG),[BPH],myach,Pennsylvania Ball-Peen Hammers (BPH),Assists,1.00,
Open Division,Wed 08 Jul 2020 10:00 PM,Pennsylvania Ball-Peen Hammers (BPH),Tokyo Ghoulz (TTG),[TSG],Orbit,Tokyo Ghoulz (TTG),Assists,0.00,
Open Division,Wed 08 Jul 2020 10:00 PM,Pennsylvania Ball-Peen Hammers (BPH),Tokyo Ghoulz (TTG),[NJM],Iceman,Tokyo Ghoulz (TTG),Assists,2.00,
Open Division,Wed 08 Jul 2020 10:00 PM,Pennsylvania Ball-Peen Hammers (BPH),Tokyo Ghoulz (TTG),[BPH],hzr,Pennsylvania Ball-Peen Hammers (BPH),Assists,3.00,
Open Division,Wed 08 Jul 2020 10:00 PM,Pennsylvania Ball-Peen Hammers (BPH),Tokyo Ghoulz (TTG),[CSC],Cherries,Pennsylvania Ball-Peen Hammers (BPH),Assists,3.00,
Open Division,Wed 08 Jul 2020 10:00 PM,Pennsylvania Ball-Peen Hammers (BPH),Tokyo Ghoulz (TTG),[TSG],Hobo Jobo,Tokyo Ghoulz (TTG),Assists,0.00,
Open Division,Wed 08 Jul 2020 10:00 PM,Pennsylvania Ball-Peen Hammers (BPH),Tokyo Ghoulz (TTG),[TSG],Tupac,Tokyo Ghoulz (TTG),Assists,1.00,
Open Division,Wed 08 Jul 2020 10:00 PM,Pennsylvania Ball-Peen Hammers (BPH),Tokyo Ghoulz (TTG),[CSC],Cherries,Pennsylvania Ball-Peen Hammers (BPH),Goals,1.00,
