Fixture Group,Fixture Date,Home Team,Away Team,First Name,Last Name,Team,Stat Desc,Stat Value,
Open Division,Wed 09 Sep 2020 09:30 PM,Georgia Glizzy Gladiators (GGG),Washington Airplanes (WAP),[SLS],Yung Crisp,Washington Airplanes (WAP),Goals,1.00,
Open Division,Wed 09 Sep 2020 09:30 PM,Georgia Glizzy Gladiators (GGG),Washington Airplanes (WAP),[SLS],Yung Crisp,Washington Airplanes (WAP),Saves,1.00,
Open Division,Wed 09 Sep 2020 09:30 PM,Georgia Glizzy Gladiators (GGG),Washington Airplanes (WAP),[DDS],LessThanDennis,Georgia Glizzy Gladiators (GGG),Saves,2.00,
Open Division,Wed 09 Sep 2020 09:30 PM,Georgia Glizzy Gladiators (GGG),Washington Airplanes (WAP),yosemite,Yippi,Georgia Glizzy Gladiators (GGG),Saves,3.00,
Open Division,Wed 09 Sep 2020 09:30 PM,Georgia Glizzy Gladiators (GGG),Washington Airplanes (WAP),[GGG],Forehead [C],Georgia Glizzy Gladiators (GGG),Saves,1.00,
Open Division,Wed 09 Sep 2020 09:30 PM,Georgia Glizzy Gladiators (GGG),Washington Airplanes (WAP),[AA],Rudd,Washington Airplanes (WAP),Saves,3.00,
Open Division,Wed 09 Sep 2020 09:30 PM,Georgia Glizzy Gladiators (GGG),Washington Airplanes (WAP),[BB],3ffxct,Washington Airplanes (WAP),Saves,0.00,
Open Division,Wed 09 Sep 2020 09:30 PM,Georgia Glizzy Gladiators (GGG),Washington Airplanes (WAP),[BAD],Kappa,Washington Airplanes (WAP),Saves,1.00,
Open Division,Wed 09 Sep 2020 09:30 PM,Georgia Glizzy Gladiators (GGG),Washington Airplanes (WAP),[BB],3ffxct,Washington Airplanes (WAP),Shots,0.00,
Open Division,Wed 09 Sep 2020 09:30 PM,Georgia Glizzy Gladiators (GGG),Washington Airplanes (WAP),[AA],Rudd,Washington Airplanes (WAP),Shots,7.00,
Open Division,Wed 09 Sep 2020 09:30 PM,Georgia Glizzy Gladiators (GGG),Washington Airplanes (WAP),[GGG],Forehead [C],Georgia Glizzy Gladiators (GGG),Shots,2.00,
Open Division,Wed 09 Sep 2020 09:30 PM,Georgia Glizzy Gladiators (GGG),Washington Airplanes (WAP),[DDS],LessThanDennis,Georgia Glizzy Gladiators (GGG),Shots,8.00,
Open Division,Wed 09 Sep 2020 09:30 PM,Georgia Glizzy Gladiators (GGG),Washington Airplanes (WAP),yosemite,Yippi,Georgia Glizzy Gladiators (GGG),Shots,2.00,
Open Division,Wed 09 Sep 2020 09:30 PM,Georgia Glizzy Gladiators (GGG),Washington Airplanes (WAP),[BAD],Kappa,Washington Airplanes (WAP),Shots,1.00,
Open Division,Wed 09 Sep 2020 09:30 PM,Georgia Glizzy Gladiators (GGG),Washington Airplanes (WAP),[SLS],Yung Crisp,Washington Airplanes (WAP),Shots,2.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Miami Vice (MIA),Olympia Omegas (OO),[CLP],meatsale,Miami Vice (MIA),Assists,1.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Miami Vice (MIA),Olympia Omegas (OO),TheHuman,Shieldz,Olympia Omegas (OO),Assists,1.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Miami Vice (MIA),Olympia Omegas (OO),[COW],Timmy,Miami Vice (MIA),Assists,1.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Miami Vice (MIA),Olympia Omegas (OO),[MIA],Rodeo,Miami Vice (MIA),Assists,1.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Miami Vice (MIA),Olympia Omegas (OO),[BOLT],Spleen,Olympia Omegas (OO),Assists,1.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Miami Vice (MIA),Olympia Omegas (OO),[DCU],dave,Olympia Omegas (OO),Assists,1.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Miami Vice (MIA),Olympia Omegas (OO),[MIA],Rodeo,Miami Vice (MIA),Goals,2.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Miami Vice (MIA),Olympia Omegas (OO),[CLP],meatsale,Miami Vice (MIA),Goals,4.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Miami Vice (MIA),Olympia Omegas (OO),[DCU],dave,Olympia Omegas (OO),Goals,3.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Miami Vice (MIA),Olympia Omegas (OO),[COW],Timmy,Miami Vice (MIA),Goals,0.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Miami Vice (MIA),Olympia Omegas (OO),TheHuman,Shieldz,Olympia Omegas (OO),Goals,0.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Miami Vice (MIA),Olympia Omegas (OO),[BOLT],Spleen,Olympia Omegas (OO),Goals,1.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Miami Vice (MIA),Olympia Omegas (OO),[DCU],dave,Olympia Omegas (OO),Saves,0.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Miami Vice (MIA),Olympia Omegas (OO),[CLP],meatsale,Miami Vice (MIA),Saves,0.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Miami Vice (MIA),Olympia Omegas (OO),[MIA],Rodeo,Miami Vice (MIA),Saves,1.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Miami Vice (MIA),Olympia Omegas (OO),TheHuman,Shieldz,Olympia Omegas (OO),Saves,9.00,
