Timestamp,Your Discord Tag,Which Region are you signing up for?,Team Name,Team Abbreviation,Team Venue,Team Logo ,Will your team be using a General Manager (GM) ?,General Manager - Discord Tag,General Manager - Steam Name,General Manager - Slap ID,Captain - Discord Tag,Captain - Steam Name,Captain - Slap ID,Player - Discord Tag,Player - Steam Name,Player - Slap ID,Player - Discord Tag,Player - Steam Name,Player - Slap ID,Player - Discord Tag,Player - Steam Name,Player - Slap ID,Player - Discord Tag,Player - Steam Name,Player - Slap ID,Player - Discord Tag,Player - Steam Name,Player - Slap ID,Pick one
6/19/2026 21:36:25,rgaj,Main Slapshot League (East),Long Island Lightning,LIL,The Thunderdome,,No,,,,rgaj,Jágr,560316,,,,milk0720,Milk,429195,sum.1,some1,429397,taireng,Hex,327983,chrislol,chrislol,107083,Sydney Sweeney
6/19/2026 22:28:02,chickenbrothers.,Main Slapshot League (East),North Carolina S.A.P,SAP,The Swamp,https://drive.google.com/open?id=1PxDbpCCETjG550UQ-4_KVguQnYilXdLt,No,,,,chickenbrothers.,chicken_brothers,1254826,,,,jumpstudios,JumpStudios,1255009,zz_asseater69_zz,imokimalive,1252384,,,,,,,Marie Curie
6/19/2026 22:51:45,Beefus,Main Slapshot League (East),Barrie Bald Boys,BBB,Bald Boys’ Dome,https://drive.google.com/open?id=10eu0Lb37_dHI5JBsRJrVLvx0gVgzf6hR,No,,,,Beefus,Beefus,1354924,,,,Tridoxity,Tridoxity,1127790,cokezeroenjoyer49,Meatballer36,929814,darthdaevin,Darth Daevin,836900,,,,Matthew Knies
6/19/2026 23:18:18,root_beard,Main Slapshot League (East),Delco Dog Dads,DDD,Dawg Haus,https://drive.google.com/open?id=1mFwdt15umup-tkxx9C1MJnh1GkfJyEeR,No,,,,root_beard,Kavorka,816852,,,,awhall,Drewiou,200689,danglicious,Lord Osprey,19647,bigdoinks6ixty9ine_,Pissy Yonky,702578,conro.,Conro,1850085,vinegar and salt
6/19/2026 23:23:18,GoldenKnight,Main Slapshot League (East),Yucatán Yetis,YETI,,,No,,,,GoldenKnight,GoldenKnight,75184,,,,Bey,Bey,405738,Lucki,Lucki,1367326,,,,,,,Jenna Ortega
6/19/2026 23:27:43,patriotichockey14 (McNulty),Central Slapshot League,Baton Rouge Bobos,BRBO,Raising Cane's River Center Arena,https://drive.google.com/open?id=18xv4b_umGNHLLGZuQDe3G34w3mLS72kT,No,,,,McNulty,McNulty,600238,,,,robber34,x6c,871020,echolevels,echo,22412,,,,,,,Kiley Pffeifer
6/19/2026 23:45:32,Beefus,Main Slapshot League (East),Barrie Ice Hounds,BIH,The Den,https://drive.google.com/open?id=13fGr_gh-uTuuCyO8CYQpArM7JuBLxcPU,Yes,Beefus,Beefus,134924,,,,stim._.,Stim,1319952,luka1524,lmb ,1325186,mx.thew,special son ,2037465,.cmdn.,Camden.mp4,1853453,,,,happy birthday darth taksil
6/19/2026 23:46:59,hill,West Slapshot League,Salem Cats,SAL,cat bowl,,No,,,,hill,hill,1378966,,,,soccerboyej,mahalo,550187,headass,headass,173111,,,,,,,tweek
6/19/2026 23:47:09,addyp786,Main Slapshot League (East),Camden Crook$,CRKS,The Morgue,,No,,,,addyp786,AddyP786,286293,,,,Romeyyy,Romey,183790,calxtriton,chief,957603,hill,hill,1378966,hodie,hodie,972960,Megan Fox
6/19/2026 23:48:45,legarsqc,Main Slapshot League (East),Quebec Flare,QUE,Hope Arena,https://drive.google.com/open?id=11v5aq2YFnTpY_nzNjZ61Y4m860AMLSPX,No,,,,legarsqc,Nayr[QC],286293,,,,7kajun,Kajun,19508,alecathamer,felicioal068,795175,,,,,,,Gal Gadot
6/19/2026 23:50:52,hill,Central Slapshot League,Camrose Cats,cat,cat water bowl,,No,,,,hill,hill,1378966,,,,tweek,tweek,985994,chausie,chausie,1234707,zelviz,zelviz,865092,,,,tweek
